_meta_source,_meta_hs_prefix,_meta_fetched_at_utc,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
IMPORT,7005.29.14.50,2026-02-13T21:07:18.228243+00:00,7005.29.14.50,6,Measuring 5 mm or more but less than 10 mm in thickness,"[""m<sup>2<\/sup>""]",,,,
IMPORT,7005.29.18,2026-02-13T21:07:18.228243+00:00,7005.29.18,5,Other,,14.5¢/m<sup>2</sup>,"Free (A+,AU,B,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)",$2.13/m<sup>2</sup>,
IMPORT,7005.29.18.10,2026-02-13T21:07:18.228243+00:00,7005.29.18.10,6,Measuring less than 5 mm in thickness,"[""m<sup>2<\/sup>""]",,,,
IMPORT,7005.29.18.50,2026-02-13T21:07:18.228243+00:00,7005.29.18.50,6,Measuring 5 mm or more but less than 10 mm in thickness,"[""m<sup>2<\/sup>""]",,,,
IMPORT,7005.29.25.00,2026-02-13T21:07:18.228243+00:00,7005.29.25.00,3,Measuring 10 mm or more in thickness,"[""m<sup>2<\/sup>""]",4.9%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",50%,
IMPORT,7005.30.00.00,2026-02-13T21:07:18.228243+00:00,7005.30.00.00,1,Wired glass,"[""m<sup>2<\/sup>""]",29.1¢/m<sup>2</sup>,"Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",$2.48/m<sup>2</sup>,
IMPORT,7006.00,2026-02-13T21:07:18.228243+00:00,7006.00,0,"Glass of heading 7003, 7004 or 7005, bent, edge-worked, engraved, drilled, enameled or otherwise worked, but not framed or fitted with other materials:",,,,,
IMPORT,7006.00.10.00,2026-02-13T21:07:18.228243+00:00,7006.00.10.00,1,"Strips not over 15.2 cm in width, measuring over 2 mm in thickness, and having all longitudinal edges ground or otherwise smoothed or processed","[""m<sup>2<\/sup>""]",8.8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",53%,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,1,Other:,,,,,
IMPORT,7006.00.20.00,2026-02-13T21:07:18.228243+00:00,7006.00.20.00,2,"Glass, drawn or blown and not containing wire netting and not surface ground or polished","[""m<sup>2<\/sup>""]",6.4%,"Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",60%,
IMPORT,7006.00.40,2026-02-13T21:07:18.228243+00:00,7006.00.40,2,Other,,4.9%,"Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",60%,
IMPORT,7006.00.40.10,2026-02-13T21:07:18.228243+00:00,7006.00.40.10,3,Having an absorbent or reflecting layer,"[""m<sup>2<\/sup>""]",,,,
IMPORT,7006.00.40.50,2026-02-13T21:07:18.228243+00:00,7006.00.40.50,3,Other,"[""m<sup>2<\/sup>""]",,,,
IMPORT,7007,2026-02-13T21:07:18.228243+00:00,7007,0,"Safety glass, consisting of toughened (tempered) or laminated glass:",,,,,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,1,Toughened (tempered) safety glass:,,,,,
IMPORT,7007.11.00,2026-02-13T21:07:18.228243+00:00,7007.11.00,2,"Of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels",,5.5%,"Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",50%,
IMPORT,7007.11.00.10,2026-02-13T21:07:18.228243+00:00,7007.11.00.10,3,For motor vehicles of chapter 87,"[""m<sup>2<\/sup>""]",,,,
IMPORT,7007.11.00.90,2026-02-13T21:07:18.228243+00:00,7007.11.00.90,3,Other,"[""m<sup>2<\/sup>""]",,,,
IMPORT,7007.19.00.00,2026-02-13T21:07:18.228243+00:00,7007.19.00.00,2,Other,"[""m<sup>2<\/sup>""]",5%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",50%,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,1,Laminated safety glass:,,,,,
IMPORT,7007.21,2026-02-13T21:07:18.228243+00:00,7007.21,2,"Of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels:",,,,,
IMPORT,7007.21.11,2026-02-13T21:07:18.228243+00:00,7007.21.11,3,Windshields,,4.9%,"Free (A,AU,B,BH,C,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",60%,
IMPORT,7007.21.11.10,2026-02-13T21:07:18.228243+00:00,7007.21.11.10,4,For motor vehicles of chapter 87,"[""m<sup>2<\/sup>""]",,,,
IMPORT,7007.21.11.90,2026-02-13T21:07:18.228243+00:00,7007.21.11.90,4,Other,"[""m<sup>2<\/sup>""]",,,,
IMPORT,7007.21.51.00,2026-02-13T21:07:18.228243+00:00,7007.21.51.00,3,Other,"[""m<sup>2<\/sup>""]",4.9%,"Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",60%,
IMPORT,7007.29.00.00,2026-02-13T21:07:18.228243+00:00,7007.29.00.00,2,Other,"[""m<sup>2<\/sup>""]",4.9%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",60%,
IMPORT,7008.00.00.00,2026-02-13T21:07:18.228243+00:00,7008.00.00.00,0,Multiple-walled insulating units of glass,"[""No.""]",3.9%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",50%,
IMPORT,7009,2026-02-13T21:07:18.228243+00:00,7009,0,"Glass mirrors, whether or not framed, including rear-view mirrors:",,,,,
IMPORT,7009.10.00.00,2026-02-13T21:07:18.228243+00:00,7009.10.00.00,1,Rear-view mirrors for vehicles,"[""No.""]",3.9%,"Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",50%,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,1,Other:,,,,,
IMPORT,7009.91,2026-02-13T21:07:18.228243+00:00,7009.91,2,Unframed:,,,,,
IMPORT,7009.91.10,2026-02-13T21:07:18.228243+00:00,7009.91.10,3,Not over 929 cm<sup>2</sup> in reflecting area,,7.8%,"Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",50%,
IMPORT,7009.91.10.10,2026-02-13T21:07:18.228243+00:00,7009.91.10.10,4,Containing LED or fluorescent lighting,"[""cm<sup>2<\/sup>"",""No.""]",,,,
IMPORT,7009.91.10.90,2026-02-13T21:07:18.228243+00:00,7009.91.10.90,4,Other,"[""cm<sup>2<\/sup>"",""No.""]",,,,
IMPORT,7009.91.50,2026-02-13T21:07:18.228243+00:00,7009.91.50,3,Over 929 cm<sup>2</sup> in reflecting area,,6.5%,"Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.25% (JP)",45%,
IMPORT,7009.91.50.10,2026-02-13T21:07:18.228243+00:00,7009.91.50.10,4,Containing LED or fluorescent lighting,"[""cm<sup>2<\/sup>"",""No.""]",,,,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,4,Other:,,,,,
IMPORT,7009.91.50.91,2026-02-13T21:07:18.228243+00:00,7009.91.50.91,5,Over-the-door mirrors of a kind described in statistical note 2 to this chapter,"[""cm<sup>2<\/sup>"",""No.""]",,,,
IMPORT,7009.91.50.95,2026-02-13T21:07:18.228243+00:00,7009.91.50.95,5,Other,"[""cm<sup>2<\/sup>"",""No.""]",,,,
IMPORT,7009.92,2026-02-13T21:07:18.228243+00:00,7009.92,2,Framed:,,,,,
IMPORT,7009.92.10,2026-02-13T21:07:18.228243+00:00,7009.92.10,3,Not over 929 cm<sup>2</sup> in reflecting area,,7.8%,"Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",50%,
IMPORT,7009.92.10.10,2026-02-13T21:07:18.228243+00:00,7009.92.10.10,4,Containing LED or fluorescent lighting,"[""cm<sup>2<\/sup>"",""No.""]",,,,
IMPORT,7009.92.10.90,2026-02-13T21:07:18.228243+00:00,7009.92.10.90,4,Other,"[""cm<sup>2<\/sup>"",""No.""]",,,,
IMPORT,7009.92.50,2026-02-13T21:07:18.228243+00:00,7009.92.50,3,Over 929 cm<sup>2</sup> in reflecting area,,6.5%,"Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.25% (JP)",45%,
IMPORT,7009.92.50.10,2026-02-13T21:07:18.228243+00:00,7009.92.50.10,4,Containing LED or fluorescent lighting,"[""cm<sup>2<\/sup>"",""No.""]",,,,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,4,Other:,,,,,
IMPORT,7009.92.50.91,2026-02-13T21:07:18.228243+00:00,7009.92.50.91,5,Over-the-door mirrors of a kind described in statistical note 2 to this chapter,"[""cm<sup>2<\/sup>"",""No.""]",,,,
IMPORT,7009.92.50.95,2026-02-13T21:07:18.228243+00:00,7009.92.50.95,5,Other,"[""cm<sup>2<\/sup>"",""No.""]",,,,
IMPORT,7010,2026-02-13T21:07:18.228243+00:00,7010,0,"Carboys, bottles, flasks, jars, pots, vials, ampoules and other containers, of glass, of a kind used for the conveyance or packing of goods; preserving jars of glass; stoppers, lids and other closures, of glass:",,,,,
IMPORT,7010.10.00.00,2026-02-13T21:07:18.228243+00:00,7010.10.00.00,1,Ampoules,"[""gross""]",Free,,50¢/gross,
IMPORT,7010.20,2026-02-13T21:07:18.228243+00:00,7010.20,1,"Stoppers, lids and other closures:",,,,,
IMPORT,7010.20.20.00,2026-02-13T21:07:18.228243+00:00,7010.20.20.00,2,Produced by automatic machine,"[""gross""]",2.5%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,
